op,g,ex,rm,ud,pf,66,67,fc,fpu,pm,uc,fb,w,d,sr,ar,nea,io,flds,mc,mnemonic,dw_mnemonic,alt_names,lck,rep,so,reg,m,copt1,copt2,copt3,gop1,gop2,gop3,f_tested,f_mod,f_def,f_undef,f_values,exceptions,description
BA,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,r,,MOV,,,0,0,0,0,0,r16/32,imm16/32,,Zvqp,Ivqp,,,,,,,,Move
BB,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,r,,MOV,,,0,0,0,0,0,r16/32,imm16/32,,Zvqp,Ivqp,,,,,,,,Move
BC,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,r,,MOV,,,0,0,0,0,0,r16/32,imm16/32,,Zvqp,Ivqp,,,,,,,,Move
BD,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,r,,MOV,,,0,0,0,0,0,r16/32,imm16/32,,Zvqp,Ivqp,,,,,,,,Move
BE,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,r,,MOV,,,0,0,0,0,0,r16/32,imm16/32,,Zvqp,Ivqp,,,,,,,,Move
BF,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,r,,MOV,,,0,0,0,0,0,r16/32,imm16/32,,Zvqp,Ivqp,,,,,,,,Move
C0,2,0,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,,,ROL,,,0,0,1,1,1,r/m8,imm8,,,,,,o..szapc,,o.......,,,Rotate Left
C0,2,1,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,,,ROR,,,0,0,1,1,1,r/m8,imm8,,,,,,o..szapc,,o.......,,,Rotate Right
C0,2,2,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,,,RCL,,,0,0,1,1,1,r/m8,imm8,,,,,.......c,o..szapc,,o.......,,,Rotate Through Carry Left
C0,2,3,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,,,RCR,,,0,0,1,1,1,r/m8,imm8,,,,,.......c,o..szapc,,o.......,,,Rotate Through Carry Right
C0,2,4,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,,,SHL,,SAL,0,0,1,1,1,r/m8,imm8,,,,,,o..szapc,,o....a.c,,,Shift Left
C0,2,5,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,,,SHR,,,0,0,1,1,1,r/m8,imm8,,,,,,o..szapc,,o....a.c,,,Shift Right
C0,2,6,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,,,SHL,,SAL,0,0,1,1,1,r/m8,imm8,,,,,,o..szapc,,o....a.c,,,Shift Left
C0,2,7,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,,,SAR,,,0,0,1,1,1,r/m8,imm8,,,,,,o..szapc,,o....a..,,,Shift Arithmetic Right
C1,2,0,,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,,,ROL,,,0,0,1,1,1,r/m16/32,imm8,,,,,,o..szapc,,,,,Rotate Left
C1,2,1,,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,,,ROR,,,0,0,1,1,1,r/m16/32,imm8,,,,,,o..szapc,,,,,Rotate Right
C1,2,2,,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,,,RCL,,,0,0,1,1,1,r/m16/32,imm8,,,,,.......c,o..szapc,,,,,Rotate Through Carry Left
C1,2,3,,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,,,RCR,,,0,0,1,1,1,r/m16/32,imm8,,,,,.......c,o..szapc,,,,,Rotate Through Carry Right
C1,2,4,,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,,,SHL,,SAL,0,0,1,1,1,r/m16/32,imm8,,,,,,o..szapc,,,,,Shift Left
C1,2,5,,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,,,SHR,,,0,0,1,1,1,r/m16/32,imm8,,,,,,o..szapc,,,,,Shift Right
C1,2,6,,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,,,SHL,,SAL,0,0,1,1,1,r/m16/32,imm8,,,,,,o..szapc,,,,,Shift Left
C1,2,7,,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,,,SAR,,,0,0,1,1,1,r/m16/32,imm8,,,,,,o..szapc,,,,,Shift Arithmetic Right
C2,,,,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,,,RET,,,0,0,0,0,0,imm16,,,Iw,,,,,,,,,Return from procedure
C3,,,,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,,,RET,,,0,0,0,0,0,,,,,,,,,,,,,Return from procedure
C4,,,,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,,,LES,,,0,0,1,0,1,es,reg16/32,m16:16/32,ES,Gv,Mp,,,,,,,Load Far Pointer
C5,,,,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,,,LDS,,,0,0,1,0,1,ds,reg16/32,m16:16/32,DS,Gv,Mp,,,,,,,Load Far Pointer
C6,,0,,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,w,,MOV,,,0,0,1,1,1,r/m8,imm8,,Eb,Ib,,,,,,,,Move
C7,,0,,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,W,,MOV,,,0,0,1,1,1,r/m16/32,imm16/32,,Evqp,Ivds,,,,,,,,Move
C8,,,,0,0,1,0,0,0,0,,,,,,,,0,,,ENTER,,,0,0,1,1,1,BP,imm16,imm8,,,,,,,,,,Make Stack Frame for Procedure Parameters
