op,g,ex,rm,ud,pf,66,67,fc,fpu,pm,uc,fb,w,d,sr,ar,nea,io,flds,mc,mnemonic,dw_mnemonic,alt_names,lck,rep,so,reg,m,copt1,copt2,copt3,gop1,gop2,gop3,f_tested,f_mod,f_def,f_undef,f_values,exceptions,description
0F92,,,,0,0,0,1,0,0,0,,,,,,,1,0,,,SETB,,,0,0,1,1,1,r/m8,,,,,,,,,,,,Set Byte on Condition - below/not above or equal/carry (CF=1)
0F93,,,,0,0,0,1,0,0,0,,,,,,,1,0,,,SETNB,,,0,0,1,1,1,r/m8,,,,,,,,,,,,Set Byte on Condition - not below/above or equal/not carry (CF=0)
0F94,,,,0,0,0,1,0,0,0,,,,,,,1,0,,,SETZ,,,0,0,1,1,1,r/m8,,,,,,,,,,,,Set Byte on Condition - zero/equal (ZF=1)
0F95,,,,0,0,0,1,0,0,0,,,,,,,1,0,,,SETNZ,,,0,0,1,1,1,r/m8,,,,,,,,,,,,Set Byte on Condition - not zero/not equal (ZF=0)
0F96,,,,0,0,0,1,0,0,0,,,,,,,1,0,,,SETBE,,,0,0,1,1,1,r/m8,,,,,,,,,,,,Set Byte on Condition - below or equal/not above (CF=1 OR ZF=1)
0F97,,,,0,0,0,1,0,0,0,,,,,,,1,0,,,SETNBE,,,0,0,1,1,1,r/m8,,,,,,,,,,,,Set Byte on Condition - not below or equal/above (CF=0 AND ZF=0)
0F98,,,,0,0,0,1,0,0,0,,,,,,,1,0,,,SETS,,,0,0,1,1,1,r/m8,,,,,,,,,,,,Set Byte on Condition - sign (SF=1)
0F99,,,,0,0,0,1,0,0,0,,,,,,,1,0,,,SETNS,,,0,0,1,1,1,r/m8,,,,,,,,,,,,Set Byte on Condition - not sign (SF=0)
0F9A,,,,0,0,0,1,0,0,0,,,,,,,1,0,,,SETP,,,0,0,1,1,1,r/m8,,,,,,,,,,,,Set Byte on Condition - parity/parity even (PF=1)
0F9B,,,,0,0,0,1,0,0,0,,,,,,,1,0,,,SETNP,,,0,0,1,1,1,r/m8,,,,,,,,,,,,Set Byte on Condition - not parity/parity odd (PF=0)
0F9C,,,,0,0,0,1,0,0,0,,,,,,,1,0,,,SETL,,,0,0,1,1,1,r/m8,,,,,,,,,,,,Set Byte on Condition - less/not greater (SF!=OF)
0F9D,,,,0,0,0,1,0,0,0,,,,,,,1,0,,,SETNL,,,0,0,1,1,1,r/m8,,,,,,,,,,,,Set Byte on Condition - not less/greater or equal (SF=OF)
0F9E,,,,0,0,0,1,0,0,0,,,,,,,1,0,,,SETLE,,,0,0,1,1,1,r/m8,,,,,,,,,,,,Set Byte on Condition - less or equal/not greater ((ZF=1) OR (SF!=OF))
0F9F,,,,0,0,0,1,0,0,0,,,,,,,1,0,,,SETNLE,,,0,0,1,1,1,r/m8,,,,,,,,,,,,Set Byte on Condition - not less nor equal/greater ((ZF=0) AND (SF=OF))
0FA0,,,,0,0,1,0,0,0,0,,,,,,,1,0,,,PUSH,,,0,0,0,0,0,FS,,,,,,,,,,,,"Push Word, Doubleword or Quadword Onto the Stack"
0FA1,,,,0,0,1,0,0,0,0,,,,,,,1,0,,,POP,,,0,0,0,0,0,FS,,,,,,,,,,,,Pop a Value from the Stack
0FA2,,,,1,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,6,Undefined
0FA3,,,,0,0,1,1,0,0,0,,,,,,,,0,,,BT,,,0,0,1,1,1,r/m16/32,r16/32,,,,,,,,,,,Bit Test
0FA4,,,,0,0,1,1,0,0,0,,,,,,,,0,,,SHLD,,,0,0,1,1,1,r/m16/32,r16/32,imm8,,,,,,,,,,Double Precision Shift Left
0FA5,,,,0,0,1,1,0,0,0,,,,,,,,0,,,SHLD,,,0,0,1,1,1,r/m16/32,r16/32,CL,,,,,,,,,,Double Precision Shift Left
0FA6,,,,1,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,6,Undefined
0FA7,,,,1,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,6,Undefined
0FA8,,,,0,0,1,0,0,0,0,,,,,,,1,0,,,PUSH,,,0,0,0,0,0,GS,,,,,,,,,,,,"Push Word, Doubleword or Quadword Onto the Stack"
0FA9,,,,0,0,1,0,0,0,0,,,,,,,1,0,,,POP,,,0,0,0,0,0,GS,,,,,,,,,,,,Pop a Value from the Stack
0FAA,,,,0,0,0,0,1,0,0,,,,,,,1,0,,,RSM,,,0,0,0,0,0,,,,,,,,,,,,,Resume from System Management Mode
0FAB,,,,0,0,1,1,0,0,0,,,,,,,,0,,,BTS,,,1,0,1,1,1,r/m16/32,r16/32,,,,,,,,,,,Bit Test and Set
0FAC,,,,0,0,1,1,0,0,0,,,,,,,,0,,,SHRD,,,0,0,1,1,1,r/m16/32,r16/32,imm8,,,,,,,,,,Double Precision Shift Right
0FAD,,,,0,0,1,1,0,0,0,,,,,,,,0,,,SHRD,,,0,0,1,1,1,r/m16/32,r16/32,CL,,,,,,,,,,Double Precision Shift Right
0FAE,,,,1,0,0,,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,6,Undefined
0FAF,,,,0,0,1,1,0,0,0,,,,,,,,0,,,IMUL,,,0,0,1,1,1,"	r16/32","	r/m16/32",,,,,,,,,,,Signed Multiply
0FB0,,,,1,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,6,Undefined
0FB1,,,,1,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,6,Undefined
0FB2,,,,0,0,1,1,0,0,0,,,,,,,,0,,,LSS,,,0,0,1,0,1,r16/32,m16:16/32,,,,,,,,,,,Load Far Pointer
0FB3,,,,0,0,1,1,0,0,0,,,,,,,,0,,,BTR,,,0,0,1,1,1,r/m16/32,r16/32,,,,,,,,,,,Bit Test and Reset
0FB4,,,,0,0,1,1,0,0,0,,,,,,,,0,,,LFS,,,0,0,1,0,1,r16/32,m16:16/32,,,,,,,,,,,Load Far Pointer
0FB5,,,,0,0,1,1,0,0,0,,,,,,,,0,,,LGS,,,0,0,1,0,1,r16/32,m16:16/32,,,,,,,,,,,Load Far Pointer
0FB6,,,,0,0,1,1,0,0,0,,,,,,,1,0,,,MOVZX,,,0,0,1,1,1,r16/32,r/m8,,,,,,,,,,,Move with Zero-Extend
0FB7,,,,0,0,1,1,0,0,0,,,,,,,1,0,,,MOVZX,,,0,0,1,1,1,r16/32,r/m16,,,,,,,,,,,Move with Zero-Extend
0FB8,,,,1,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,6,Undefined
0FB9,,,,1,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,6,Undefined
0FBA,8,0,,1,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,6,Undefined
0FBA,8,1,,1,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,6,Undefined
0FBA,8,2,,1,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,6,Undefined
0FBA,8,3,,1,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,6,Undefined
0FBA,8,4,,0,0,1,1,0,0,0,,,,,,,0,0,,,BT,,,0,0,1,1,1,r/m16/32,imm8,,,,,,,,,,,Bit Test
0FBA,8,5,,0,0,1,1,0,0,0,,,,,,,,0,,,BTS,,,1,0,1,1,1,r/m16/32,imm8,,,,,,,,,,,Bit Test and Set
0FBA,8,6,,0,0,1,1,0,0,0,,,,,,,,0,,,BTR,,,1,0,1,1,1,r/m16/32,imm8,,,,,,,,,,,Bit Test and Reset
0FBA,8,7,,0,0,1,1,0,0,0,,,,,,,,0,,,BTC,,,1,0,1,1,1,r/m16/32,imm8,,,,,,,,,,,Bit Test and Complement
0FBB,,,,0,0,1,1,0,0,0,,,,,,,0,0,,,BTC,,,1,0,1,1,1,r/m16/32,r16/32,,,,,,,,,,,Bit Test and Complement
0FBC,,,,0,0,1,1,0,0,0,,,,,,,,0,,,BSF,,,0,0,1,1,1,r16/32,r/m16/32,,,,,,,,,,,Bit Scan Forward
0FBD,,,,0,0,1,1,0,0,0,,,,,,,,0,,,BSR,,,0,0,1,1,1,r16/32,r/m16/32,,,,,,,,,,,Bit Scan Reverse
0FBE,,,,0,0,1,1,0,0,0,,,,,,,,0,,,MOVSX,,,0,0,1,1,1,r16/32,r/m8,,,,,,,,,,,Move with Sign-Extension
0FBF,,,,0,0,1,1,0,0,0,,,,,,,,0,,,MOVSX,,,0,0,1,1,1,r16/32,r/m16,,,,,,,,,,,Move with Sign-Extension
